traffic_pattern,injection_rate,packets_injected,packets_received,avg_queueing_latency_ticks,avg_network_latency_ticks,avg_packet_latency_ticks,avg_packet_latency_cycles,avg_hops,reception_rate,avg_link_utilization
neighbor,0.01,6305,6302,1000.0,3247.381784,4247.381784,4.247381784,1.747382,0.009846875,1.1811
neighbor,0.03,19105,19096,1000.0,3246.857981,4246.857981,4.246857981,1.746858,0.0298375,3.57885
neighbor,0.05,32024,32012,1000.0,3243.158815,4243.158815,4.243158815,1.743159,0.05001875,5.9931
neighbor,0.08,51118,51100,1000.0,3247.005871,4247.005871,4.247005871000001,1.747006,0.07984375,9.57645
neighbor,0.1,63921,63900,1000.0,3246.384977,4246.384977,4.246384977,1.746385,0.09984375,11.9732
neighbor,0.12,76703,76673,1000.0,3248.738148,4248.738148,4.248738148,1.748738,0.1198015625,14.3764
neighbor,0.14,89518,89484,1000.0,3248.893657,4248.893657,4.248893657,1.748894,0.13981875,16.77915
neighbor,0.16,102302,102261,1000.0,3248.203127,4248.203127,4.248203127,1.748203,0.1597828125,19.1721
neighbor,0.18,115179,115133,1000.0,3247.205406,4247.205406,4.247205406,1.747205,0.1798953125,21.57955
neighbor,0.2,127977,127927,1000.0,3248.458105,4248.458105,4.248458105,1.748458,0.1998859375,23.98525
neighbor,0.22,140772,140719,1000.0,3249.578948,4249.578948,4.249578948,1.749579,0.2198734375,26.39085
neighbor,0.24,153519,153465,1000.0,3251.285309,4251.285309,4.251285309,1.751285,0.2397890625,28.7936
neighbor,0.26,166282,166219,1000.0,3253.23519,4253.23519,4.253235190000001,1.753235,0.2597171875,31.20285
neighbor,0.28,179054,178988,1000.0,3252.262722,4252.262722,4.252262722,1.752263,0.27966875,33.59075
neighbor,0.3,191893,191823,1000.0,3253.788649,4253.788649,4.253788649,1.753789,0.2997234375,36.01415
neighbor,0.35,223939,223861,1000.0,3252.583076,4252.583076,4.252583076,1.752583,0.3497828125,42.0148
neighbor,0.4,255883,255791,1000.0,3251.738724,4251.738724,4.251738724,1.751739,0.3996734375,47.99725
neighbor,0.45,287831,287727,1000.0,3252.359007,4252.359007,4.252359007,1.752359,0.4495734375,53.9989
neighbor,0.5,319640,319522,1000.0,3250.389645,4250.389645,4.250389645,1.75039,0.499253125,59.9351
shuffle,0.01,6305,6300,1000.0,5501.269841,6501.269841,6.501269841,3.993968,0.00984375,1.88895
shuffle,0.03,19105,19094,1000.0,5543.914319,6543.914319,6.543914319000001,4.021368,0.029834375,5.75045
shuffle,0.05,32024,32005,1000.0,5550.835807,6550.835807,6.550835807,4.013967,0.0500078125,9.62745
shuffle,0.08,51118,51091,1000.0,5562.79971,6562.79971,6.56279971,4.004737,0.0798296875,15.34465
shuffle,0.1,63921,63888,1000.0,5573.926246,6573.926246,6.573926246,4.001456,0.099825,19.17775
shuffle,0.12,76703,76658,1000.0,5586.109734,6586.109734,6.586109734,3.998891,0.119778125,23.0018
shuffle,0.14,89518,89468,1000.0,5602.120311,6602.120311,6.602120310999999,3.999117,0.13979375,26.8461
shuffle,0.16,102302,102246,1000.0,5615.251452,6615.251452,6.615251452000001,3.995208,0.159759375,30.66
shuffle,0.18,115179,115113,1000.0,5633.316828,6633.316828,6.633316828,3.995908,0.1798640625,34.52295
shuffle,0.2,127977,127904,1000.0,5647.868714,6647.868714,6.647868714,3.993073,0.19985,38.3407
shuffle,0.22,140772,140695,1000.0,5667.084829,6667.084829,6.667084829,3.992402,0.2198359375,42.1693
shuffle,0.24,153519,153440,1000.0,5689.305266,6689.305266,6.689305266,3.991984,0.23975,45.985
shuffle,0.26,166282,166187,1000.0,5716.731754,6716.731754,6.716731754,3.994645,0.2596671875,49.82925
shuffle,0.28,179054,178953,1000.0,5745.55889,6745.55889,6.74555889,3.995284,0.2796140625,53.66245
shuffle,0.3,191893,191782,1000.002607,5780.414742,6780.417349,6.780417349,3.995985,0.299659375,57.51715
shuffle,0.35,223939,223804,1000.067023,5917.794141,6917.861164,6.917861164,3.996381,0.34969375,67.1263
shuffle,0.4,255882,255710,1004.679129,6306.260999,7310.940127,7.310940127,3.997618,0.399546875,76.7143
shuffle,0.45,287763,287470,4666.269524,9944.542039,14610.811563,14.610811562999999,3.996361,0.449171875,86.23495
shuffle,0.5,300214,299792,272060.925575,13861.850883,285922.776458,285.922776458,3.982835,0.468425,89.7388
tornado,0.01,6305,6301,1000.0,5253.769243,6253.769243,6.253769243,3.746231,0.0098453125,1.81085
tornado,0.03,19105,19093,1000.0,5266.616037,6266.616037,6.2666160369999995,3.746975,0.0298328125,5.48855
tornado,0.05,32024,32005,1000.0,5277.737853,6277.737853,6.277737853,3.747008,0.0500078125,9.20025
tornado,0.08,51118,51088,1000.0,5301.195976,6301.195976,6.301195976,3.751135,0.079825,14.6965
