sweep_type,param_value,injection_rate,vcs_per_vnet,router_latency,link_width_bits,packets_injected,packets_received,avg_queueing_latency_ticks,avg_network_latency_ticks,avg_packet_latency_ticks,avg_packet_latency_cycles,avg_hops,reception_rate,avg_link_utilization
sweep_link_width,32,0.01,4,1,32,6296,6290,1000.0,9279.968203,10279.968203,10.279968203000001,5.269952,0.009828125,4.575
sweep_link_width,32,0.03,4,1,32,19095,19070,1000.0,9296.407971,10296.407971,10.296407971,5.262858,0.029796875,13.86115
sweep_link_width,32,0.05,4,1,32,32008,31982,1000.0,9307.516728,10307.516728,10.307516728000001,5.248507,0.049971875,23.19185
sweep_link_width,32,0.08,4,1,32,51059,51015,1000.078408,9369.34235,10369.420759,10.369420759,5.252592,0.0797109375,37.018
sweep_link_width,32,0.1,4,1,32,64013,63952,1000.132912,9426.046097,10426.179009,10.426179009,5.257116,0.099925,46.4329
sweep_link_width,32,0.15,4,1,32,95936,95831,1000.939153,9611.884463,10612.823617,10.612823617,5.243321,0.1497359375,69.45845
sweep_link_width,32,0.2,4,1,32,127958,127823,1004.369323,10026.841805,11031.211128,11.031211128,5.252906,0.1997234375,92.7703
sweep_link_width,32,0.25,4,1,32,159997,159817,1047.873505,10920.912669,11968.786174,11.968786174,5.252725,0.2497140625,115.9863
sweep_link_width,32,0.3,4,1,32,190653,190343,45295.393054,15599.861828,60895.254882,60.895254882,5.247353,0.2974109375,138.05665
sweep_link_width,32,0.35,4,1,32,195367,194961,497687.847826,19143.73644,516831.584266,516.831584266,5.147279,0.3046265625,139.4652
sweep_link_width,32,0.4,4,1,32,195436,195017,883387.045745,20054.002984,903441.048729,903.441048729,5.086884,0.3047140625,138.3225
sweep_link_width,32,0.45,4,1,32,195464,195042,1184014.471242,20571.553819,1204586.025061,1204.5860250609999,5.059304,0.304753125,137.81075
sweep_link_width,32,0.5,4,1,32,193993,193572,1491551.47697,21030.998801,1512582.475771,1512.582475771,5.039034,0.30245625,136.3744
sweep_link_width,64,0.01,4,1,64,6296,6290,1000.0,6779.0938,7779.0938,7.7790938,5.269952,0.009828125,2.28795
sweep_link_width,64,0.03,4,1,64,19095,19076,1000.0,6790.522122,7790.522122,7.7905221220000005,5.262843,0.02980625,6.9321
sweep_link_width,64,0.05,4,1,64,32008,31988,1000.0,6791.796924,7791.796924,7.791796924,5.248468,0.04998125,11.59735
sweep_link_width,64,0.08,4,1,64,51059,51031,1000.0,6822.647018,7822.647018,7.822647018,5.252631,0.0797359375,18.51135
sweep_link_width,64,0.1,4,1,64,64013,63963,1000.0,6846.075075,7846.075075,7.846075075,5.257102,0.0999421875,23.22005
sweep_link_width,64,0.15,4,1,64,95936,95866,1000.0,6875.83189,7875.83189,7.875831890000001,5.243517,0.149790625,34.7346
sweep_link_width,64,0.2,4,1,64,127958,127869,1000.0,6934.788729,7934.788729,7.934788729,5.253001,0.1997953125,46.3938
sweep_link_width,64,0.25,4,1,64,159997,159875,1000.0,6987.534011,7987.534011,7.987534011,5.252979,0.2498046875,58.00725
sweep_link_width,64,0.3,4,1,64,191786,191639,1000.0,7046.603249,8046.603249,8.046603249,5.252423,0.2994359375,69.52475
sweep_link_width,64,0.35,4,1,64,223583,223401,1000.0,7105.084579,8105.084579,8.105084579,5.244815,0.3490640625,80.96445
sweep_link_width,64,0.4,4,1,64,255673,255470,1000.0,7200.890516,8200.890516,8.200890516,5.24963,0.399171875,92.64975
sweep_link_width,64,0.45,4,1,64,287555,287325,1000.0,7305.269294,8305.269294,8.305269294,5.248732,0.4489453125,104.1893
sweep_link_width,64,0.5,4,1,64,319562,319304,1000.040714,7449.743818,8449.784531,8.449784530999999,5.243307,0.4989125,115.69725
sweep_link_width,128,0.01,4,1,128,6296,6290,1000.0,6779.0938,7779.0938,7.7790938,5.269952,0.009828125,2.28795
sweep_link_width,128,0.03,4,1,128,19095,19076,1000.0,6790.522122,7790.522122,7.7905221220000005,5.262843,0.02980625,6.9321
sweep_link_width,128,0.05,4,1,128,32008,31988,1000.0,6791.796924,7791.796924,7.791796924,5.248468,0.04998125,11.59735
sweep_link_width,128,0.08,4,1,128,51059,51031,1000.0,6822.647018,7822.647018,7.822647018,5.252631,0.0797359375,18.51135
sweep_link_width,128,0.1,4,1,128,64013,63963,1000.0,6846.075075,7846.075075,7.846075075,5.257102,0.0999421875,23.22005
sweep_link_width,128,0.15,4,1,128,95936,95866,1000.0,6875.83189,7875.83189,7.875831890000001,5.243517,0.149790625,34.7346
sweep_link_width,128,0.2,4,1,128,127958,127869,1000.0,6934.788729,7934.788729,7.934788729,5.253001,0.1997953125,46.3938
sweep_link_width,128,0.25,4,1,128,159997,159875,1000.0,6987.534011,7987.534011,7.987534011,5.252979,0.2498046875,58.00725
sweep_link_width,128,0.3,4,1,128,191786,191639,1000.0,7046.603249,8046.603249,8.046603249,5.252423,0.2994359375,69.52475
sweep_link_width,128,0.35,4,1,128,223583,223401,1000.0,7105.084579,8105.084579,8.105084579,5.244815,0.3490640625,80.96445
sweep_link_width,128,0.4,4,1,128,255673,255470,1000.0,7200.890516,8200.890516,8.200890516,5.24963,0.399171875,92.64975
sweep_link_width,128,0.45,4,1,128,287555,287325,1000.0,7305.269294,8305.269294,8.305269294,5.248732,0.4489453125,104.1893
sweep_link_width,128,0.5,4,1,128,319562,319304,1000.040714,7449.743818,8449.784531,8.449784530999999,5.243307,0.4989125,115.69725
sweep_link_width,256,0.01,4,1,256,6296,6290,1000.0,6779.0938,7779.0938,7.7790938,5.269952,0.009828125,2.28795
sweep_link_width,256,0.03,4,1,256,19095,19076,1000.0,6790.522122,7790.522122,7.7905221220000005,5.262843,0.02980625,6.9321
sweep_link_width,256,0.05,4,1,256,32008,31988,1000.0,6791.796924,7791.796924,7.791796924,5.248468,0.04998125,11.59735
sweep_link_width,256,0.08,4,1,256,51059,51031,1000.0,6822.647018,7822.647018,7.822647018,5.252631,0.0797359375,18.51135
sweep_link_width,256,0.1,4,1,256,64013,63963,1000.0,6846.075075,7846.075075,7.846075075,5.257102,0.0999421875,23.22005
sweep_link_width,256,0.15,4,1,256,95936,95866,1000.0,6875.83189,7875.83189,7.875831890000001,5.243517,0.149790625,34.7346
sweep_link_width,256,0.2,4,1,256,127958,127869,1000.0,6934.788729,7934.788729,7.934788729,5.253001,0.1997953125,46.3938
sweep_link_width,256,0.25,4,1,256,159997,159875,1000.0,6987.534011,7987.534011,7.987534011,5.252979,0.2498046875,58.00725
sweep_link_width,256,0.3,4,1,256,191786,191639,1000.0,7046.603249,8046.603249,8.046603249,5.252423,0.2994359375,69.52475
sweep_link_width,256,0.35,4,1,256,223583,223401,1000.0,7105.084579,8105.084579,8.105084579,5.244815,0.3490640625,80.96445
sweep_link_width,256,0.4,4,1,256,255673,255470,1000.0,7200.890516,8200.890516,8.200890516,5.24963,0.399171875,92.64975
sweep_link_width,256,0.45,4,1,256,287555,287325,1000.0,7305.269294,8305.269294,8.305269294,5.248732,0.4489453125,104.1893
sweep_link_width,256,0.5,4,1,256,319562,319304,1000.040714,7449.743818,8449.784531,8.449784530999999,5.243307,0.4989125,115.69725
