sweep_type,param_value,injection_rate,vcs_per_vnet,router_latency,link_width_bits,packets_injected,packets_received,avg_queueing_latency_ticks,avg_network_latency_ticks,avg_packet_latency_ticks,avg_packet_latency_cycles,avg_hops,reception_rate,avg_link_utilization
sweep_router_latency,1,0.01,4,1,128,6296,6290,1000.0,6779.0938,7779.0938,7.7790938,5.269952,0.009828125,2.28795
sweep_router_latency,1,0.03,4,1,128,19095,19076,1000.0,6790.522122,7790.522122,7.7905221220000005,5.262843,0.02980625,6.9321
sweep_router_latency,1,0.05,4,1,128,32008,31988,1000.0,6791.796924,7791.796924,7.791796924,5.248468,0.04998125,11.59735
sweep_router_latency,1,0.08,4,1,128,51059,51031,1000.0,6822.647018,7822.647018,7.822647018,5.252631,0.0797359375,18.51135
sweep_router_latency,1,0.1,4,1,128,64013,63963,1000.0,6846.075075,7846.075075,7.846075075,5.257102,0.0999421875,23.22005
sweep_router_latency,1,0.15,4,1,128,95936,95866,1000.0,6875.83189,7875.83189,7.875831890000001,5.243517,0.149790625,34.7346
sweep_router_latency,1,0.2,4,1,128,127958,127869,1000.0,6934.788729,7934.788729,7.934788729,5.253001,0.1997953125,46.3938
sweep_router_latency,1,0.25,4,1,128,159997,159875,1000.0,6987.534011,7987.534011,7.987534011,5.252979,0.2498046875,58.00725
sweep_router_latency,1,0.3,4,1,128,191786,191639,1000.0,7046.603249,8046.603249,8.046603249,5.252423,0.2994359375,69.52475
sweep_router_latency,1,0.35,4,1,128,223583,223401,1000.0,7105.084579,8105.084579,8.105084579,5.244815,0.3490640625,80.96445
sweep_router_latency,1,0.4,4,1,128,255673,255470,1000.0,7200.890516,8200.890516,8.200890516,5.24963,0.399171875,92.64975
sweep_router_latency,1,0.45,4,1,128,287555,287325,1000.0,7305.269294,8305.269294,8.305269294,5.248732,0.4489453125,104.1893
sweep_router_latency,1,0.5,4,1,128,319562,319304,1000.040714,7449.743818,8449.784531,8.449784530999999,5.243307,0.4989125,115.69725
sweep_router_latency,2,0.01,4,2,128,6296,6290,1000.0,9909.379968,10909.379968,10.909379968,5.269952,0.009828125,2.28745
sweep_router_latency,2,0.03,4,2,128,19095,19065,1000.0,9905.691057,10905.691057,10.905691057,5.262313,0.0297890625,6.93
sweep_router_latency,2,0.05,4,2,128,32008,31975,1000.0,9893.510555,10893.510555,10.893510555,5.247975,0.0499609375,11.59535
sweep_router_latency,2,0.08,4,2,128,51059,51011,1000.0,9915.537825,10915.537825,10.915537825,5.252318,0.0797046875,18.5081
sweep_router_latency,2,0.1,4,2,128,64013,63947,1000.0,9934.070402,10934.070402,10.934070402,5.256697,0.0999171875,23.2154
sweep_router_latency,2,0.15,4,2,128,95936,95827,1000.0,9944.504159,10944.504159,10.944504159000001,5.242906,0.1497296875,34.72775
sweep_router_latency,2,0.2,4,2,128,127958,127828,1000.0,10000.093876,11000.093876,11.000093876000001,5.252574,0.19973125,46.38425
sweep_router_latency,2,0.25,4,2,128,159997,159821,1000.006257,10051.404384,11051.410641,11.051410641,5.252489,0.2497203125,57.99445
sweep_router_latency,2,0.3,4,2,128,191786,191581,1000.0,10121.958858,11121.958858,11.121958858,5.25206,0.2993453125,69.511
sweep_router_latency,2,0.35,4,2,128,223583,223342,1000.004477,10201.704113,11201.70859,11.20170859,5.244495,0.348971875,80.9491
sweep_router_latency,2,0.4,4,2,128,255673,255387,1000.021536,10356.881909,11356.903445,11.356903445,5.249292,0.3990421875,92.63045
sweep_router_latency,2,0.45,4,2,128,287555,287254,1001.033928,10571.384559,11572.418487,11.572418487,5.248285,0.448834375,104.1693
sweep_router_latency,2,0.5,4,2,128,319562,319182,1009.395893,10983.003428,11992.399321,11.992399321,5.242805,0.498721875,115.67105
sweep_router_latency,3,0.01,4,3,128,6296,6288,1000.0,13047.391858,14047.391858,14.047391858000001,5.269084,0.009825,2.2871
sweep_router_latency,3,0.03,4,3,128,19095,19063,1000.0,13051.906835,14051.906835,14.051906835,5.262341,0.0297859375,6.9285
sweep_router_latency,3,0.05,4,3,128,32008,31969,1000.0,13041.227439,14041.227439,14.041227439,5.247552,0.0499515625,11.59365
sweep_router_latency,3,0.08,4,3,128,51059,50990,1000.0,13075.612865,14075.612865,14.075612864999998,5.251638,0.079671875,18.50465
sweep_router_latency,3,0.1,4,3,128,64013,63923,1000.0,13102.865948,14102.865948,14.102865948,5.256168,0.0998796875,23.2118
sweep_router_latency,3,0.15,4,3,128,95936,95802,1000.0,13128.488967,14128.488967,14.128488967,5.242646,0.149690625,34.7212
sweep_router_latency,3,0.2,4,3,128,127958,127778,1000.0,13213.491368,14213.491368,14.213491368000001,5.252148,0.199653125,46.3758
sweep_router_latency,3,0.25,4,3,128,159997,159771,1000.056331,13302.752064,14302.808395,14.302808395,5.252111,0.2496421875,57.983
sweep_router_latency,3,0.3,4,3,128,191786,191514,1000.070491,13430.224422,14430.294913,14.430294913,5.251543,0.299240625,69.49795
sweep_router_latency,3,0.35,4,3,128,223583,223266,1000.295612,13603.542411,14603.838023,14.603838023,5.244274,0.348853125,80.93475
