sweep_type,param_value,injection_rate,vcs_per_vnet,router_latency,link_width_bits,packets_injected,packets_received,avg_queueing_latency_ticks,avg_network_latency_ticks,avg_packet_latency_ticks,avg_packet_latency_cycles,avg_hops,reception_rate,avg_link_utilization
sweep_vcs,1,0.01,1,1,128,6296,6290,1017.329094,6847.297297,7864.626391,7.864626391,5.269952,0.009828125,2.28785
sweep_vcs,1,0.03,1,1,128,19095,19076,1069.144475,7028.753407,8097.897882,8.097897882,5.262843,0.02980625,6.932
sweep_vcs,1,0.05,1,1,128,32008,31988,1131.252345,7257.471552,8388.723896,8.388723896,5.248468,0.04998125,11.597
sweep_vcs,1,0.08,1,1,128,51059,51018,1283.311772,7861.480262,9144.792034,9.144792034,5.252186,0.079715625,18.50955
sweep_vcs,1,0.1,1,1,128,64006,63950,1516.028147,8612.595778,10128.623925,10.128623925,5.257217,0.099921875,23.2157
sweep_vcs,1,0.15,1,1,128,88134,87985,326703.529011,15942.529977,342646.058987,342.646058987,5.16904,0.1374765625,31.56005
sweep_vcs,1,0.2,1,1,128,88162,88000,1283810.75,17472.113636,1301282.863636,1301.282863636,5.081739,0.1375,31.1849
sweep_vcs,1,0.25,1,1,128,88482,88319,1968298.718283,17548.075725,1985846.794008,1985.846794008,5.06926,0.1379984375,31.2425
sweep_vcs,1,0.3,1,1,128,87996,87832,2502819.786638,17667.672375,2520487.459013,2520.4874590130003,5.086745,0.1372375,31.1453
sweep_vcs,1,0.35,1,1,128,88559,88399,2849153.276621,17545.566126,2866698.842747,2866.698842747,5.055148,0.1381234375,31.20675
sweep_vcs,1,0.4,1,1,128,88890,88736,3081690.959701,17516.943518,3099207.903219,3099.207903219,5.071628,0.13865,31.39875
sweep_vcs,1,0.45,1,1,128,88217,88047,3281026.207594,17647.256579,3298673.464173,3298.673464173,5.081104,0.1375734375,31.20135
sweep_vcs,1,0.5,1,1,128,88333,88175,3478435.611001,17600.742841,3496036.353842,3496.036353842,5.071063,0.1377734375,31.1986
sweep_vcs,2,0.01,2,1,128,6296,6290,1000.0,6779.968203,7779.968203,7.779968203,5.269952,0.009828125,2.28795
sweep_vcs,2,0.03,2,1,128,19095,19076,1000.393164,6796.57685,7796.970015,7.796970015,5.262843,0.02980625,6.9321
sweep_vcs,2,0.05,2,1,128,32008,31988,1001.078529,6809.053395,7810.131924,7.810131924,5.248468,0.04998125,11.59735
sweep_vcs,2,0.08,2,1,128,51059,51031,1003.615449,6868.88362,7872.499069,7.872499069000001,5.252631,0.0797359375,18.5113
sweep_vcs,2,0.1,2,1,128,64013,63963,1005.339024,6917.061426,7922.40045,7.9224004500000005,5.257102,0.0999421875,23.21985
sweep_vcs,2,0.15,2,1,128,95936,95864,1013.0706,7053.059543,8066.130143,8.066130143,5.24347,0.1497875,34.7341
sweep_vcs,2,0.2,2,1,128,127958,127862,1028.519028,7324.3536,8352.872628,8.352872627999998,5.252905,0.199784375,46.3925
sweep_vcs,2,0.25,2,1,128,159997,159862,1073.294466,7795.051357,8868.345823,8.868345823,5.252893,0.249784375,58.00275
sweep_vcs,2,0.3,2,1,128,191781,191586,2274.900045,9436.77252,11711.672565,11.711672565,5.251939,0.299353125,69.5097
sweep_vcs,2,0.35,2,1,128,208041,207731,280514.971285,13255.26763,293770.238915,293.770238915,5.177499,0.3245796875,74.59935
sweep_vcs,2,0.4,2,1,128,209537,209224,697724.168833,14277.848144,712002.016977,712.002016977,5.111617,0.3269125,74.4448
sweep_vcs,2,0.45,2,1,128,208177,207851,1039843.758269,14839.700074,1054683.458343,1054.683458343,5.067385,0.3247671875,73.49815
sweep_vcs,2,0.5,2,1,128,207086,206780,1369319.844763,15051.646678,1384371.49144,1384.37149144,5.042843,0.32309375,72.8619
sweep_vcs,4,0.01,4,1,128,6296,6290,1000.0,6779.0938,7779.0938,7.7790938,5.269952,0.009828125,2.28795
sweep_vcs,4,0.03,4,1,128,19095,19076,1000.0,6790.522122,7790.522122,7.7905221220000005,5.262843,0.02980625,6.9321
sweep_vcs,4,0.05,4,1,128,32008,31988,1000.0,6791.796924,7791.796924,7.791796924,5.248468,0.04998125,11.59735
sweep_vcs,4,0.08,4,1,128,51059,51031,1000.0,6822.647018,7822.647018,7.822647018,5.252631,0.0797359375,18.51135
sweep_vcs,4,0.1,4,1,128,64013,63963,1000.0,6846.075075,7846.075075,7.846075075,5.257102,0.0999421875,23.22005
sweep_vcs,4,0.15,4,1,128,95936,95866,1000.0,6875.83189,7875.83189,7.875831890000001,5.243517,0.149790625,34.7346
sweep_vcs,4,0.2,4,1,128,127958,127869,1000.0,6934.788729,7934.788729,7.934788729,5.253001,0.1997953125,46.3938
sweep_vcs,4,0.25,4,1,128,159997,159875,1000.0,6987.534011,7987.534011,7.987534011,5.252979,0.2498046875,58.00725
sweep_vcs,4,0.3,4,1,128,191786,191639,1000.0,7046.603249,8046.603249,8.046603249,5.252423,0.2994359375,69.52475
sweep_vcs,4,0.35,4,1,128,223583,223401,1000.0,7105.084579,8105.084579,8.105084579,5.244815,0.3490640625,80.96445
sweep_vcs,4,0.4,4,1,128,255673,255470,1000.0,7200.890516,8200.890516,8.200890516,5.24963,0.399171875,92.64975
sweep_vcs,4,0.45,4,1,128,287555,287325,1000.0,7305.269294,8305.269294,8.305269294,5.248732,0.4489453125,104.1893
sweep_vcs,4,0.5,4,1,128,319562,319304,1000.040714,7449.743818,8449.784531,8.449784530999999,5.243307,0.4989125,115.69725
sweep_vcs,8,0.01,8,1,128,6296,6290,1000.0,6779.0938,7779.0938,7.7790938,5.269952,0.009828125,2.28795
sweep_vcs,8,0.03,8,1,128,19095,19076,1000.0,6790.522122,7790.522122,7.7905221220000005,5.262843,0.02980625,6.9321
sweep_vcs,8,0.05,8,1,128,32008,31988,1000.0,6791.796924,7791.796924,7.791796924,5.248468,0.04998125,11.59735
sweep_vcs,8,0.08,8,1,128,51059,51031,1000.0,6822.647018,7822.647018,7.822647018,5.252631,0.0797359375,18.51135
sweep_vcs,8,0.1,8,1,128,64013,63963,1000.0,6846.075075,7846.075075,7.846075075,5.257102,0.0999421875,23.22005
sweep_vcs,8,0.15,8,1,128,95936,95866,1000.0,6875.826675,7875.826675,7.875826675,5.243517,0.149790625,34.7346
sweep_vcs,8,0.2,8,1,128,127958,127870,1000.0,6934.703214,7934.703214,7.934703214,5.253023,0.199796875,46.3938
sweep_vcs,8,0.25,8,1,128,159997,159875,1000.0,6987.261923,7987.261923,7.987261923,5.252979,0.2498046875,58.00725
sweep_vcs,8,0.3,8,1,128,191786,191639,1000.0,7046.086653,8046.086653,8.046086653,5.252423,0.2994359375,69.52475
sweep_vcs,8,0.35,8,1,128,223583,223401,1000.0,7103.961039,8103.961039,8.103961039,5.244815,0.3490640625,80.96445
sweep_vcs,8,0.4,8,1,128,255673,255468,1000.0,7195.386506,8195.386506,8.195386506,5.249632,0.39916875,92.64975
sweep_vcs,8,0.45,8,1,128,287555,287325,1000.0,7295.699991,8295.699991,8.295699991,5.248732,0.4489453125,104.1893
sweep_vcs,8,0.5,8,1,128,319562,319303,1000.0,7420.680357,8420.680357,8.420680356999998,5.243327,0.4989109375,115.6977
sweep_vcs,16,0.01,16,1,128,6296,6290,1000.0,6779.0938,7779.0938,7.7790938,5.269952,0.009828125,2.28795
sweep_vcs,16,0.03,16,1,128,19095,19076,1000.0,6790.522122,7790.522122,7.7905221220000005,5.262843,0.02980625,6.9321
sweep_vcs,16,0.05,16,1,128,32008,31988,1000.0,6791.796924,7791.796924,7.791796924,5.248468,0.04998125,11.59735
sweep_vcs,16,0.08,16,1,128,51059,51031,1000.0,6822.647018,7822.647018,7.822647018,5.252631,0.0797359375,18.51135
sweep_vcs,16,0.1,16,1,128,64013,63963,1000.0,6846.075075,7846.075075,7.846075075,5.257102,0.0999421875,23.22005
sweep_vcs,16,0.15,16,1,128,95936,95866,1000.0,6875.826675,7875.826675,7.875826675,5.243517,0.149790625,34.7346
sweep_vcs,16,0.2,16,1,128,127958,127870,1000.0,6934.703214,7934.703214,7.934703214,5.253023,0.199796875,46.3938
sweep_vcs,16,0.25,16,1,128,159997,159875,1000.0,6987.261923,7987.261923,7.987261923,5.252979,0.2498046875,58.00725
sweep_vcs,16,0.3,16,1,128,191786,191639,1000.0,7046.086653,8046.086653,8.046086653,5.252423,0.2994359375,69.52475
sweep_vcs,16,0.35,16,1,128,223583,223401,1000.0,7103.961039,8103.961039,8.103961039,5.244815,0.3490640625,80.96445
sweep_vcs,16,0.4,16,1,128,255673,255468,1000.0,7195.374763,8195.374763,8.195374763,5.249632,0.39916875,92.64975
sweep_vcs,16,0.45,16,1,128,287555,287325,1000.0,7295.699991,8295.699991,8.295699991,5.248732,0.4489453125,104.1893
sweep_vcs,16,0.5,16,1,128,319562,319303,1000.0,7420.863568,8420.863568,8.420863568000001,5.243327,0.4989109375,115.6977
