topology,traffic_pattern,injection_rate,packets_injected,packets_received,avg_queueing_latency_ticks,avg_network_latency_ticks,avg_packet_latency_ticks,avg_packet_latency_cycles,avg_hops,reception_rate,avg_link_utilization
Mesh_XY,neighbor,0.01,1552,1552,1000.0,2990.979381,3990.979381,3.9909793810000003,1.490979,0.0097,0.2709
Mesh_XY,neighbor,0.03,4787,4785,1000.0,3004.493208,4004.493208,4.0044932079999995,1.504493,0.02990625,0.8386
Mesh_XY,neighbor,0.05,8052,8050,1000.0,2988.944099,3988.944099,3.988944099,1.488944,0.0503125,1.40445
Mesh_XY,neighbor,0.08,12766,12761,1000.0,2986.638978,3986.638978,3.9866389779999998,1.486639,0.07975625,2.2252
Mesh_XY,neighbor,0.1,15978,15973,1000.0,2986.070244,3986.070244,3.986070244,1.48607,0.09983125,2.7847
Mesh_XY,neighbor,0.12,19153,19147,1000.0,2988.327153,3988.327153,3.988327153,1.488327,0.11966875,3.34035
Mesh_XY,neighbor,0.15,23925,23919,1000.0,2994.66951,3994.66951,3.99466951,1.49467,0.14949375,4.18025
Mesh_XY,neighbor,0.18,28701,28694,1000.0,2993.343556,3993.343556,3.9933435559999997,1.493344,0.1793375,5.0128
Mesh_XY,neighbor,0.2,31903,31895,1000.0,2994.685687,3994.685687,3.994685687,1.494686,0.19934375,5.5742
Mesh_XY,neighbor,0.25,39978,39969,1000.0,2996.935125,3996.935125,3.996935125,1.496935,0.24980625,6.9896
Mesh_XY,neighbor,0.3,48051,48038,1000.0,2999.021608,3999.021608,3.999021608,1.499022,0.3002375,8.4059
Mesh_XY,neighbor,0.35,55929,55910,1000.0,3000.626006,4000.626006,4.000626006,1.500626,0.3494375,9.78835
Mesh_XY,neighbor,0.4,63832,63812,1000.0,3000.564157,4000.564157,4.0005641569999995,1.500564,0.398825,11.1713
Mesh_XY,neighbor,0.45,71789,71767,1000.0,2998.864381,3998.864381,3.9988643809999997,1.498864,0.44854375,12.55765
Mesh_XY,neighbor,0.5,79723,79698,1000.0,2998.782905,3998.782905,3.998782905,1.498783,0.4981125,13.9453
Mesh_XY,tornado,0.01,1552,1552,1000.0,2990.979381,3990.979381,3.9909793810000003,1.490979,0.0097,0.2709
Mesh_XY,tornado,0.03,4787,4785,1000.0,3004.493208,4004.493208,4.0044932079999995,1.504493,0.02990625,0.8386
Mesh_XY,tornado,0.05,8052,8050,1000.0,2988.944099,3988.944099,3.988944099,1.488944,0.0503125,1.40445
Mesh_XY,tornado,0.08,12766,12761,1000.0,2986.638978,3986.638978,3.9866389779999998,1.486639,0.07975625,2.2252
Mesh_XY,tornado,0.1,15978,15973,1000.0,2986.070244,3986.070244,3.986070244,1.48607,0.09983125,2.7847
Mesh_XY,tornado,0.12,19153,19147,1000.0,2988.327153,3988.327153,3.988327153,1.488327,0.11966875,3.34035
Mesh_XY,tornado,0.15,23925,23919,1000.0,2994.66951,3994.66951,3.99466951,1.49467,0.14949375,4.18025
Mesh_XY,tornado,0.18,28701,28694,1000.0,2993.343556,3993.343556,3.9933435559999997,1.493344,0.1793375,5.0128
Mesh_XY,tornado,0.2,31903,31895,1000.0,2994.685687,3994.685687,3.994685687,1.494686,0.19934375,5.5742
Mesh_XY,tornado,0.25,39978,39969,1000.0,2996.935125,3996.935125,3.996935125,1.496935,0.24980625,6.9896
